time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weather_code,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_probability_max,rain_sum,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_min,cloud_cover_max,cloud_cover_mean,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,precipitation_probability_mean,precipitation_probability_min,sunrise,sunset,daylight_duration,sunshine_duration,showers_sum,et0_fao_evapotranspiration,et0_fao_evapotranspiration_sum
2025-08-12,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,4,0,2025-08-12T05:48,2025-08-12T18:19,45028.05,,,,
2025-08-13,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,20,0,2025-08-13T05:48,2025-08-13T18:18,44997.3,,,,
2025-08-14,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,44,0,2025-08-14T05:48,2025-08-14T18:18,44966.39,,,,
2025-08-15,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,53,0,2025-08-15T05:48,2025-08-15T18:17,44935.27,,,,
2025-08-16,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,76,10,2025-08-16T05:49,2025-08-16T18:17,44903.73,,,,
2025-08-17,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,53,24,2025-08-17T05:49,2025-08-17T18:16,44871.79,,,,
2025-08-18,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,42,4,2025-08-18T05:49,2025-08-18T18:16,44839.46,,,,
2025-08-19,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,15,0,2025-08-19T05:49,2025-08-19T18:15,44806.79,,,,
2025-08-20,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,23,0,2025-08-20T05:49,2025-08-20T18:15,44773.8,,,,
2025-08-21,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,48,3,2025-08-21T05:49,2025-08-21T18:14,44740.51,,,,
